id;source_locale;target_locale;source;target;entities;from;wikidata_labels
2723bb1b;en;es;Which actor was the star of Titanic and was born in Los Angeles, California?;¿Qué actor protagonizó Titanic y nació en Los Ángeles, California?;['Q65'];mintaka;{'Q65': {'es': 'Los Ángeles', 'en': 'Los Angeles'}}
bff78c91;en;es;What year was the first book of the A Song of Ice and Fire series published?;¿En qué año se publicó el primer libro de la saga Canción de hielo y fuego?;['Q45875'];mintaka;{'Q45875': {'es': 'Canción de hielo y fuego', 'en': 'A Song of Ice and Fire'}}
fe541d01;en;es;Which US president has had the most votes?;¿Qué presidente de Estados Unidos obtuvo más votos?;['Q30'];mintaka;{'Q30': {'es': 'Estados Unidos', 'en': 'United States'}}
217a0a84;en;es;How long did it take to build the Lincoln Memorial?;¿En cuánto tiempo se construyó el Monumento a Lincoln?;['Q213559'];mintaka;{'Q213559': {'es': 'Monumento a Lincoln', 'en': 'Lincoln Memorial'}}
b218d184;en;es;Has Bernie Sanders ever been president of the United States?;¿Bernie Sanders ha sido alguna vez presidente de los Estados Unidos?;['Q30'];mintaka;{'Q30': {'es': 'Estados Unidos', 'en': 'United States'}}
f477742c;en;es;Which actor was Stephenie Meyer's first choice to play Edward Cullen in the movie Twilight?;¿Qué actor fue la primera opción de Stephanie Meyer para interpretar a Edward Cullen en la película Crepúsculo?;['Q160219', 'Q160071'];mintaka;{'Q160219': {'es': 'Stephenie Meyer', 'en': 'Stephenie Meyer'}, 'Q160071': {'es': 'Crepúsculo', 'en': 'Twilight'}}
faa4e84c;en;es;What is the latest US state to be admitted to the union that is not Hawaii?;¿Cuál es el último estado de Estados Unidos en ser incorporado a la unión aparte de Hawái?;['Q30', 'Q782'];mintaka;{'Q30': {'es': 'Estados Unidos', 'en': 'United States'}, 'Q782': {'es': 'Hawái', 'en': 'Hawaii'}}
650e81a3;en;es;What is the longest lake in the world?;¿Cuál es el lago más largo del mundo?;['Q23397'];mintaka;{'Q23397': {'es': 'lago', 'en': 'lake'}}
a146c476;en;es;Is Texas the largest state in US?;¿Tejas es el estado más grande de Estados Unidos?;['Q30', 'Q1439'];mintaka;{'Q30': {'es': 'Estados Unidos', 'en': 'United States'}, 'Q1439': {'es': 'Texas', 'en': 'Texas'}}
43aae58f;en;es;How many times have the Los Angeles Dodgers lost the World Series?;¿Cuántas veces perdieron los Dodgers de Los Ángeles la Serie Mundial?;['Q265538'];mintaka;{'Q265538': {'es': 'Serie Mundial', 'en': 'World Series'}}
33ed28dd;en;es;Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?;¿Quién fue miembro del equipo olímpico de natación masculino de Estados Unidos en 2004 y nació en Baltimore, Maryland?;['Q31920', 'Q30'];mintaka;{'Q31920': {'es': 'natación', 'en': 'swimming'}, 'Q30': {'es': 'Estados Unidos', 'en': 'United States'}}
cb790bce;en;es;Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?;¿Los Rams de Los Ángeles han ganado un anillo del Super Bowl desde que se trasladaron a Los Ángeles?;['Q65'];mintaka;{'Q65': {'es': 'Los Ángeles', 'en': 'Los Angeles'}}
a848c7c6;en;es;Has there ever been a Christian U.S. senator?;¿Alguna vez ha habido un senador estadounidense cristiano?;['Q106039'];mintaka;{'Q106039': {'es': 'cristiano', 'en': 'Christian'}}
3e7b64af;en;es;Which player has won the most World Series rings?;¿Qué jugador ha ganado más anillos de la Serie Mundial?;['Q265538'];mintaka;{'Q265538': {'es': 'Serie Mundial', 'en': 'World Series'}}
9508d042;en;es;How many Pulitzer Prizes has Colson Whitehead won?;¿Cuántos premios Pulitzer ha ganado Colson Whitehead?;['Q46525'];mintaka;{'Q46525': {'es': 'Premio Pulitzer', 'en': 'Pulitzer Prize'}}
2182d4d7;en;es;Which movie made more money, Joker or Suicide Squad (2016)?;¿Qué película recaudó más dinero: Joker o El Escuadrón Suicida (2016)?;['Q18604504'];mintaka;{'Q18604504': {'es': 'Escuadrón suicida', 'en': 'Suicide Squad'}}
f8f84576;en;es;Did Citizen Kane come out before 1950?;¿Ciudadano Kane se estrenó antes del año 1950?;['Q24815'];mintaka;{'Q24815': {'es': 'Ciudadano Kane', 'en': 'Citizen Kane'}}
