id;es;en
Q111048;Veliki Ústiug;Veliky Ustyug
Q126877;Parque Gorki;Gorky Park
Q1574846;iglesia de la Natividad de Nuestra Señora;Stroganov Church
Q1578441;Klauskirche;Klauskirche
Q1589656;patibulo;Lobnoye Mesto
Q1624039;Hohler Stein (bei Schambach);Hohler Stein (bei Schambach)
Q1627784;VDNJ;VDNKh
Q129072;Persépolis;Persepolis
Q129479;Tumba de Hafez;Tomb of Hafez
Q129846;Catedral de San Basilio;St. Basil's Cathedral
Q1636570;Kremlin de Tobolsk;Tobolsk Kremlin
Q1636756;iglesia de Chesme;Chesme Church
Q1648121;Monasterio Vysokopetrovsky;Vysokopetrovsky Monastery
Q1681449;Mezquita Jamkaran;Jamkaran Mosque
Q1710068;embajada de Siria en Rusia;Embassy of Syria, Moscow
Q133274;Kremlin;Kremlin
Q1740490;puente Khaju;Khaju Bridge
Q1742812;iglesia de San Luis de los Franceses;Church of St. Louis of the French
Q1751487;Universidad Técnica Estatal del Sur de Rusia;Platov South-Russian State Polytechnic University
Q10511094;Torre Shújov en Polibino;Shukhov tower in Polibino
Q10547720;Konstnärshuset;Artists' House of Stockholm
Q11814857;Palacio de Oskar Schön;Oskar Schöen's Palace
Q134883;Torre CN;CN Tower
Q12637954;Monumento Nacional de Bosnia y Herzegovina;National Monuments of Bosnia and Herzegovina
Q12823615;Estación de ferrocarril de Taskent;Tashkent Railway Station
Q12869794;Catedral de Urbnisi;Urbnisi cathedral
Q12871553;Iglesia de Juan Bautista de Khtsisi;Khtsisi John the Baptist church
Q14538443;Marderloch;Marderloch
Q14912276;Wernloch;Wernloch
Q139318;Estación Moskovsky;Moskovsky railway station
Q147994;Tsarítsino;Tsaritsyno Park + palace
Q154116;Mezquita Al-Kadhimiya;Al-Kadhimiya Mosque
Q155453;Narikala;Narikala
Q160135;Majdanek;Lublin-Majdanek concentration camp
Q162077;Gliptoteca de Múnich;Glyptothek
Q167321;iglesia de San Andrés de Kiev;Saint Andrew's Church
Q15729689;iglesia de San Juan Bautista;St. John the Baptist Church, Samarkand
Q15736028;Burgruine Rammertshof;Burgruine Rammertshof
Q15062161;Zoolithenhöhle;Zoolithen Cave
Q15072777;torres ingusetias;medieval Ingush towers
Q15120608;Moggaster Höhle;Moggaster Höhle
Q167566;Palacio de la Cultura y la Ciencia;Palace of Culture and Science
Q1004271;Colegio de Bullenhuser Damm;Schule Bullenhuser Damm
Q1004889;Buna-Werke;Buna Werke
Q1010828;castillo de Aremberg;Aremberg Castle
Q1012927;Castillo Lichteneck;Burg Lichteneck
Q1012950;Burg Liebeneck;Burg Liebeneck
Q15790321;Burg Amberg;Burg Amberg
Q1015336;Burgruine Hilpoltstein;Burgruine Hilpoltstein
Q118495420;Teatro Nacional Lesya Ukrainka;Lesya Ukrainka National Academic Theater
Q122894597;Iglesia del Icono de la Theotokos la Zarza Ardiente (Convento Nikitsky, Kashira);Church of the Icon of Theotokos the Burning Bush (Nikitsky monastery, Kashira)
Q123472272;Cuartel San Martín;San Martín barracks
Q126896247;Sinagoga de Majachkalá;Makhachkala Synagogue
Q130282159;campus principal de la Universidad Estatal de San José;San José State University Main Campus
Q131171944;Sinagoga de Buynaksk;Buynaksk Synagogue
Q1015399;Burgruine Lichtenstein (Pommelsbrunn);Lichtenstein Castle
Q16673994;Limosnería Malshinsky;Malshin almshouse (Ryazan)
Q16687382;embajada de Kenia en Rusia;Embassy of Kenya, Moscow
Q17140201;Caravasar (Orenburg);Orenburg Caravanserai
Q17374397;Limes de la Alta Germania-Recia;Upper German-Raetian Limes
Q106879731;Waldau (Gazi-Stadion);Waldau (Gazi-Stadion)
Q106881972;Rastatter Straße;Rastatter Straße
Q108556370;estación Colditz;Colditz railway station
Q110249924;edificio de servicio de la estación Leipzig-Schönefeld;Bahnhofsgebäude Leipzig-Schönefeld
Q110279773;Templo de cúpula cruzada de Derbent;Crossed-dome temple of Derbent
Q112716431;Three Graces Pavilion in Pavlovsk;Three Graces Pavilion in Pavlovsk
Q113569417;torre de agua (estación Baltisk);Baltiysk station water tower
Q115266726;Edificio Titov;Staraya Square 4
Q118121947;Palacio Pávlovsk;Pavlovsk Palace
Q118459669;Electroteatro Stanislavski;Stanislavsky Electrotheatre
Q1015534;Burgruine Steinamwasser;Burgruine Steinamwasser
Q1015667;Burgstall Alter Rothenberg;Burgstall Alter Rothenberg
Q1015668;Burgstall Altes Haus (Pommelsbrunn);Burgstall Altes Haus (Pommelsbrunn)
Q1015670;Burgstall Altes Schloss (Düsselbach);Burgstall Altes Schloss (Düsselbach)
Q1015761;Burgstall Hacburg;Burgstall Hacburg
Q1015785;Burgstall Hienberg;Burgstall Hienberg
Q1015794;Burgstall Hohenkuchen;Burgstall Hohenkuchen
Q1015819;Burgstall Kleiner Hansgörgel;Burgstall Kleiner Hansgörgel
Q1015929;Burgstall Spitzenberg;Burgstall Spitzenberg
Q1015977;Burgstall auf der Hasenleite;Burgstall auf der Hasenleite
Q1015982;Burgstall Ödes Schloss (Engelthal);Burgstall Ödes Schloss (Engelthal)
Q1018222;Prisión de Butirka;Butyrka prison
Q1044613;Estación Central de Helsinki;Helsinki Central Railway Station
Q1046270;Muscle Beach;Muscle Beach
Q1048694;Biblioteca del Estado Ruso;Russian State Library
Q1050324;Monasterio del Salvador y San Eutimio;Monastery of Saint Euthymius
Q1051458;iglesia de la Intercesión del río Nerl;Church of the Intercession on the Nerl
Q1051683;Spodek;Spodek
Q1059426;Kremlin de Súzdal;Suzdal Kremlin
Q1076326;Sinagoga Coral de Moscú;Moscow Choral Synagogue
Q1112746;Palacio de Justicia de Estocolmo;Stockholm Court House
Q1130457;Universidad Panrusa Guerásimov de Cinematografía;Gerasimov Institute of Cinematography
Q1140026;Torre Azadi;Azadi Tower
Q1140402;Catedral de Kazán de Moscú;Kazan Cathedral
Q1140429;Museo Estatal de Historia;State Historical Museum
Q1140434;Monasterio de Solovetsky;Solovetsky Monastery
Q1147948;Komsomólskaya-Radiálnaya;Komsomolskaya
Q1160154;Catedral de la Anunciación;Cathedral of the Annunciation
Q1186561;Teatro Vajtángov;Vakhtangov Theatre
Q1190787;Sokólniki;Sokolniki
Q1190806;Universitet;Universitet
Q1191222;Krasnosélskaya;Krasnoselskaya
Q1193386;Zoológico de Kaliningrado;Kaliningrad Zoo
Q1194741;Parque Central;Kaliningrad Central Park
Q1195868;Ayuntamiento de Kaliningrado;Kaliningrad City Hall
Q1200275;Komsomólskaya-Koltsevaya;Komsomolskaya
Q1200389;Novoslobódskaya;Novoslobodskaya
Q1225920;Óptina Pústyñ;Optina Pustyn
Q1229234;Jardín de Verano;Summer Garden
Q1235119;Doktorshöhle;Doktorshöhle
Q1239540;Port'Alba;Port'Alba, Naples
Q1240175;Monasterio de Ócsa;Romanesque church in Ócsa
Q1242146;Monasterio Donskói;Donskoy Monastery
Q1268332;Rosenmüllerhöhle;Rosenmüller Cave
Q1268850;Mausoleo de Ismail Samani;Samanid Mausoleum
Q1273770;Turmhügel Hundsdruck;Turmhügel Hundsdruck
Q1277545;Kremlin de Nóvgorod;Novgorod Kremlin
Q1277585;Kunstkamera;Kunstkamera
Q1277685;puente Latino;Latin Bridge
Q1304121;Armería del Kremlin;Kremlin Armoury
Q1322423;Aeropuerto de Cheliábinsk;Chelyabinsk Airport
Q1335640;Torres de Kuwait;Kuwait Towers
Q1340440;Park Kultury-Koltsevaya;Park Kultury
Q1344454;Estación Leningradsky;Leningradsky railway station
Q1353643;Nido de golondrina;Swallow's Nest
Q1356661;Catedral de San Pedro y San Pablo;The Cathedral of Peter and Paul
Q1367269;Estación Belorussky;Moscow Belorussky railway station
Q1368178;Esperhöhle;Esperhöhle
Q1370087;Gran Palacio del Kremlin;Grand Kremlin Palace
Q1379834;Universidad Politécnica Estatal de San Petersburgo;Peter the Great Saint Petersburg State Polytechnical University
Q1381934;Casa Ipátiev;Ipatiev House
Q1402157;Koporie;Koporye
Q1417441;Catedral de San Volodymyr de Kiev;St Volodymyr's Cathedral
Q1421396;Monasterio de Valaam;Valaam Monastery
Q1424835;Roque Nublo;Roque Nublo
Q1427503;Puerta dorada de Kiev;Golden Gate
Q1432585;Estación Kazanskiy;Kazansky railway station
Q1440653;Casa con Quimeras;House with Chimaeras
Q1469771;Torre Menshikov;Menshikov Tower
Q1473982;Estación Rizhsky;Moscow Rizhsky railway station
Q1486703;Taq-i Kisra;Taq-i Kisra
Q1498210;Gefütterter Graben bei Ungelstetten;Gefütterter Graben bei Ungelstetten
Q1515426;Academia Nacional de Música de Ucrania Chaikovski;Petro Tchaikovsky National Music Academy of Ukraine
Q1520451;Gewerbemuseum;Gewerbemuseum
Q1542609;Grand Hotel Europa;Grand Hotel Europe
Q1549070;Großer Wasserstein;Großer Wasserstein
Q1550905;Kremlin de Nizhni Nóvgorod;Nizhny Novgorod Kremlin
Q1555600;Kloster Engelthal;Kloster Engelthal
Q180376;Hollywood Sign;Hollywood Sign
Q180773;Susa;Susa
Q2515753;Vergessene Burg;Vergessene Burg
Q2534058;Monasterio de Novospassky;Novospassky Monastery
Q2465440;Club de obreros Rusakov;Rusakov Workers' Club
Q2477653;Palacio Beloselski-Belozerski;Beloselsky-Belozersky Palace
Q2494499;Catedral de la Natividad de Súzdal;Cathedral of the Nativity in Suzdal
Q2495191;Cementerio Novodévichi;Novodevichy Cemetery
Q2503505;Estadio Lokomotiv;Lokomotiv Stadium
Q2506336;Parque Pávlovsk;Pavlovsk Park
Q2511681;Filarmónica Nacional de Ucrania;National Philharmonic Society of Ukraine
Q180901;Atomium;Atomium
Q2548788;Palacio de los Terems;Terem Palace
Q2568900;Casa de las Maravillas;House of Wonders
Q2569026;Maqbaratoshoara;Maqbaratoshoara
Q2570624;Hotel Ucrania;Radisson Royal Hotel
Q2580264;Catedral Basílica del Dulce Nombre de María;Dulce Nombre de Maria Cathedral Basilica
Q181324;Torre Ostankino;Ostankino Tower
Q182118;Universidad Nacional de Investigación «Instituto de Tecnología Electrónica de Moscú»;National Research University of Electronic Technology
Q183562;Mezquita de los Omeyas;Umayyad Mosque
Q183334;Galería Tretiakov;Tretyakov Gallery
Q183536;Torre de Tokio;Tokyo Tower
Q2585729;Estación de Sosnowiec Główny;Sosnowiec Główny
Q2595032;Wundershöhle;Wundershöhle
Q2602986;Rízhskaya;Rizhskaya
Q185568;Catedral de la Anunciación de Kazán;catedral de la anunciacion de kazan
Q187333;Palacio Anichkov;Anichkov Palace
Q191414;Mausoleo de Lenin;Lenin's Mausoleum
Q2618766;iglesia de Santa Catalina;Catholic Church of St. Catherine
Q2627416;Arco de Triunfo de Moscú;Moscow Triumphal Gate
Q2635530;Tumba de Ciro;Tomb of Cyrus the Great
Q2635819;Arco de Triunfo de Moscú;Triumphal Arch of Moscow
Q2640532;Parque de Holyrood;Holyrood Park
Q2641979;Iglesia de Senti;Senty Church
Q2652905;Antigua Bolsa de San Petersburgo;Old Saint Petersburg Stock Exchange
Q2655072;Catedral de San Pedro y San Pablo;Saints Peter and Paul Cathedral
Q2656300;Convento de Santa Marta y Santa María de Moscú;Marfo-Mariinsky Convent
Q2657856;Muelle de las Esfinges;Quay with Sphinxes
Q200705;Puerta y Capilla Ibérica;Iberian Gate and Chapel
Q205136;Catedral de Santiago de Compostela;Cathedral of Santiago de Compostela
Q205385;Kíyevskaya;Kiyevskaya
Q211962;Monasterio de la Trinidad y San Sergio;Trinity Lavra of St. Sergius
Q20170709;Turmhügel Birkensee;Turmhügel Birkensee
Q20180358;Turmhügel Egensbach;Turmhügel Egensbach
Q21008370;iglesia de San Juan Crisóstomo;St. John Chrysostom Church in Yaroslavl
Q21102880;Fortaleza de Nazrán;Nazran Fortress
Q22673194;Fuerte San José (Umatac);Fort San Jose
Q22673199;Fuerte del Santo Ángel;Fort Santo Angel
Q23927040;Pragsattel;Pragsattel
Q24937319;Faro de Derbent;Derbent Lighthouse
Q25395701;Iglesia de San Vladimir en MakhachkaӀa;Church of Saint Vladimir in MakhachkaӀa
Q25396205;Sinagoga de Derbent;Derbent Synagogue
Q25531805;prisión de Bujará;Bukhara Prison
Q27971281;Höhlenruine von Hunas;Höhlenruine von Hunas
Q215539;Conservatorio de Moscú;Moscow Conservatory
Q28108797;Arcos de Triunfo de Novocherkask;Arches of Triumph
Q28108849;Palacio del Atamán;Ataman Palace
Q20850896;Burgstall Keilberg;Burgstall Keilberg
Q244947;Acueducto de Segovia;Aqueduct of Segovia
Q256964;Wuppertaler Schwebebahn;Wuppertal cable car line
Q270725;Monasterio Novodévichi;Novodevichy Convent
Q1778398;Torre de Shújov en el río Oká;Shukhov tower on the Oka River
Q1791841;santuario del Imán Reza;Imam Reza Shrine
Q2657970;Puerto fluvial de Kiev;Kyiv River Station
Q2721257;Plóshchad Revolutsii;Ploshchad Revolyutsii
Q2721585;Alexéyevskaya;Alekseyevskaya
Q2790382;Edificio del gobierno de Ucrania;Budynok Uryadu
Q18920906;Katholikon del monasterio de Antoniev;Katholikon of the Antoniev Monastery
Q19752807;Hospital de Kurakin;Kurakin Almshouse
Q19857972;Edificio Narkomzem;Narkomzem Building
Q20047346;Tatartup;Tatartup
Q1888394;Mammuthöhle Buchenhüll;Mammuthöhle Buchenhüll
Q1889165;Manège de Moscú;Moscow Manege
Q1808040;Yongdingmen;Yongdingmen
Q1810862;Instituto Lébedev de Física;Lebedev Physical Institute
Q1812294;Monasterio de Makariev;Makaryev Monastery
Q1848616;Cementerio Volkovo;Volkovo Cemetery
Q220951;iglesia de la Ascensión;Church of the Ascension, Kolomenskoye
Q225459;Catedral de Königsberg;Königsberg Cathedral
Q240549;Prisión Central de Vladímir;Vladimir Central Prison
Q1949325;Escuela de Pintura, Escultura y Arquitectura de Moscú;Moscow School of Painting, Sculpture and Architecture
Q1954245;Monasterio de Andrónikov;Andronikov Monastery
Q1958711;Teatro del Ejército Ruso;Central Academic Theatre of the Russian Army
Q1961082;Palacio de Catalina;Catherine Palace
Q1964607;iglesia Nereditsa;Saviour Church on Nereditsa
Q1969907;Catedral de San Jorge;Saint George Cathedral
Q1974813;Museo Zoológico de la Universidad de Moscú;Zoological Museum of Moscow University
Q1978332;Monasterio de San Varlaamo de Jutýn y de la Transfiguración del Salvador;Khutyn Monastery
Q1979357;Neubürg;Neubürg
Q1979737;Iglesia de Shoana;Shoana Church
Q1980481;Corte de Yaroslav;Yaroslav's Court
Q1981482;Biblioteca de la Academia de Ciencias de Rusia;Library of the Russian Academy of Sciences
Q1987878;Monasterio Goritsky;Goritsky Monastery
Q1989280;Convento de San Juan el Bautista;Ivanovsky Convent
Q1991448;Sala Oval;Oval Room
Q1993098;iglesia de Nuestra Señora la Misericordiosa;Church of Our Lady the Merciful
Q1995809;Monasterio de la Trinidad de Gleden;Troitse-Gledensky Monastery
Q2011787;Convento de la Natividad;Nativity Convent
Q2022067;Edificio Kotelnicheskaya;Kotelnicheskaya Embankment Building
