id;es;en
Q65;Los Ángeles;Los Angeles
Q45875;Canción de hielo y fuego;A Song of Ice and Fire
Q30;Estados Unidos;United States
Q213559;Monumento a Lincoln;Lincoln Memorial
Q30;Estados Unidos;United States
Q160219;Stephenie Meyer;Stephenie Meyer
Q160071;Crepúsculo;Twilight
Q30;Estados Unidos;United States
Q782;Hawái;Hawaii
Q23397;lago;lake
Q30;Estados Unidos;United States
Q1439;Texas;Texas
Q265538;Serie Mundial;World Series
Q31920;natación;swimming
Q30;Estados Unidos;United States
Q65;Los Ángeles;Los Angeles
Q106039;cristiano;Christian
Q265538;Serie Mundial;World Series
Q46525;Premio Pulitzer;Pulitzer Prize
Q18604504;Escuadrón suicida;Suicide Squad
Q24815;Ciudadano Kane;Citizen Kane
Q36479;El rey león;The Lion King
Q45797;Dunkerque;Dunkirk
Q19020;Premios Óscar;Academy Awards
Q349391;Helen Mirren;Helen Mirren
Q30;Estados Unidos;United States
Q4491;Anna Faris;Anna Faris
Q160071;Crepúsculo;Twilight
Q2875;Lo que el viento se llevó;Gone with the Wind
Q193695;El mago de Oz;The Wizard of Oz
Q47703;El padrino;The Godfather
Q1392744;El lobo de Wall Street;The Wolf of Wall Street
Q27044293;El rey león;The Lion King
Q27204;Vive y deja morir;Live and Let Die
Q107724;Operación Trueno;Thunderball
Q165325;Kill Bill: Volumen 1;Kill Bill: Volume 1
Q867138;Querido John;Dear John
Q56881169;Doctor Sueño;Doctor Sleep
Q212965;Los juegos del hambre;The Hunger Games
Q232009;Harry Potter y las reliquias de la Muerte: parte 2;Harry Potter and the Deathly Hallows – Part 2
Q207916;El mañana nunca muere;Tomorrow Never Dies
Q221594;Mejor... imposible;As Good as It Gets
Q106506;El quinto elemento;The Fifth Element
Q165524;Tobey Maguire;Tobey Maguire
Q54274;Piratas del Caribe: en el fin del mundo;Pirates of the Caribbean: At World's End
Q136209;Cuba Gooding;Cuba Gooding Jr.
Q79037;Spider-Man;Spider-Man
Q47703;El padrino;The Godfather
Q79037;Spider-Man;Spider-Man
Q194012;Morfeo;Morpheus
Q2265493;Chucky;Child's Play
Q190679;Capitán América;Captain America
Q11424;película;film
Q11424;película;film
Q51794;Jabba el Hutt;Jabba the Hutt
Q5887360;Guardianes de la Galaxia;Guardians of the Galaxy
Q202857;Jack Sparrow;Captain Jack Sparrow
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q194318;Piratas del Caribe;Pirates of the Caribbean
Q1880543;Harry Potter y las Reliquias de la Muerte;Harry Potter and the Deathly Hallows
Q190214;El Señor de los Anillos;The Lord of the Rings trilogy
