id;es;en
Q81;zanahoria;carrot
Q1003148;Tejo de Fortingall;Fortingall Yew
Q100332169;Rosa ‘Triomphe de la Guillotière’;Rosa Triomphe de la Guillotire
Q100493347;Hydrangea paniculata ʽCandlelight’;hydrangea paniculata Candlelight
Q100494241;Euonymus japonicus ʽWhite Spire’;Euonymus japonicus White Spire
Q100604999;Rosa ‘Abbé Roustan’;Rosa Abb Roustan
Q100605023;Rosa 'Albert Stopford';Rosa Albert Stopford
Q100605113;Rosa 'Alphonse Karr';Rosa Alphonse Karr
Q100633640;Rosa 'Amélie Pollonnais';Rosa Amlie Pollonnais
Q100633667;Rosa 'André Nabonnand';Rosa Andr Nabonnand
Q100633691;Rosa 'Baron de Saint-Trivier';Rosa Baron de SaintTrivier
