id;wikidata_id;entity_types;source;targets;source_locale;target_locale
Q1050105_0;Q1050105;['Movie'];Who played the lead role in the movie Torrente, the dumb arm of the law?;[{'translation': '¿Quién interpretó el papel principal en la película Torrente, el brazo tonto de la ley?', 'mention': 'Torrente, el brazo tonto de la ley'}];en;es
Q1050105_1;Q1050105;['Movie'];What year was the movie Torrente, the dumb arm of the law released?;[{'translation': '¿En qué año se estrenó la película Torrente, el brazo tonto de la ley?', 'mention': 'Torrente, el brazo tonto de la ley'}];en;es
Q1050105_2;Q1050105;['Movie'];What is the genre of the movie Torrente, the dumb arm of the law?;[{'translation': '¿Cuál es el género de la película Torrente, el brazo tonto de la ley?', 'mention': 'Torrente, el brazo tonto de la ley'}];en;es
Q1063425_0;Q1063425;['Place of worship'];What is the significance of the Porcelain Tower of Nanjing in relation to the Great Bao'en Temple?;"[{'translation': ""¿Cuál es el significado de la Torre de porcelana en relación con el Gran Templo de Bao'en?"", 'mention': 'Torre de porcelana'}, {'translation': ""¿Cuál es el significado de la Torre de porcelana de Nanjing en relación con el Gran Templo de Bao'en?"", 'mention': 'Torre de porcelana'}]";en;es
Q1063425_1;Q1063425;['Place of worship'];When was the Porcelain Tower of Nanjing constructed?;[{'translation': '¿Cuándo se construyó la Torre de porcelana?', 'mention': 'Torre de porcelana'}, {'translation': '¿Cuándo se construyó la Torre de porcelana de Nanjing?', 'mention': 'Torre de porcelana'}];en;es
Q1063425_2;Q1063425;['Place of worship'];In which dynasty was the Porcelain Tower of Nanjing built?;[{'translation': '¿En qué dinastía se construyó la Torre de porcelana?', 'mention': 'Torre de porcelana'}, {'translation': '¿En qué dinastía se construyó la Torre de porcelana de Nanjing?', 'mention': 'Torre de porcelana'}];en;es
Q1069956_0;Q1069956;['Artwork'];When was The Bluest Eye first published?;[{'translation': '¿Cuándo se publicó por primera vez Ojos azules?', 'mention': 'Ojos azules'}, {'translation': '¿Cuándo se publicó por primera vez Ojos Azules?', 'mention': 'Ojos Azules'}];en;es
Q1069956_1;Q1069956;['Artwork'];Who is the author of the novel The Bluest Eye?;[{'translation': '¿Quién es la autora de la novela Ojos azules?', 'mention': 'Ojos azules'}, {'translation': '¿Quién es el autor de la novela Ojos Azules?', 'mention': 'Ojos Azules?'}, {'translation': '¿Quién es el autor de la novela Ojos azules?', 'mention': 'Ojos azules'}];en;es
Q1069956_2;Q1069956;['Artwork'];What is the main theme explored in The Bluest Eye?;[{'translation': '¿Qué tema principal se explora en Ojos azules?', 'mention': 'Ojos azules'}, {'translation': '¿Cuál es el tema principal explorado en Ojos Azules?', 'mention': 'Ojos Azules'}, {'translation': '¿Cuál es el tema principal explorado en Ojos azules?', 'mention': 'Ojos azules'}];en;es
Q1215450_0;Q1215450;['Artwork', 'Book'];What is the main theme of The Doors of Perception?;[{'translation': '¿Cuál es el tema principal de Las puertas de la percepción?', 'mention': 'Las puertas de la percepción'}, {'translation': '¿Cuál es el tema principal de Las Puertas de la Percepción?', 'mention': 'Las Puertas de la Percepción'}];en;es
